2019-02-24 10:05:08,930 - My Logger - DEBUG - Start motifs_node_3
Which is 14.615384615384615% of the elements
0


1
	6:2

2


3


4
	1:2

5
	6:3

6


7
	1:2

8


9


[[0.5        2.         0.66666667 0.28571429 0.66666667 0.28571429
  0.28571429 0.66666667 0.28571429 2.         0.85714286 2.
  2.         0.4        0.66666667 0.66666667 0.13333333 0.13333333
  0.4       ]]
